reference_pressure;hx711 10,1,1,1,1,
26278;-4814195
26346;-4814003
26443;-4813526
26508;-4813281
26508;-4813500
26605;-4812965
26636;-4813219
26701;-4813274
26701;-4813681
26767;-4814843
26832;-4814600
26863;-4814653
26926;-4814591
26957;-4814334
26991;-4810944
27056;-4810695
27157;-4810987
27189;-4810879
27222;-4810998
27287;-4811015
27320;-4811053
27421;-4811096
27451;-4811318
27516;-4811598
27581;-4811559
27584;-4811531
27679;-4811488
27712;-4811655
27777;-4811838
27875;-4812083
27940;-4812406
28006;-4812259
28037;-4812198
28105;-4812203
28170;-4812466
28238;-4812319
28272;-4812408
28371;-4812290
28433;-4812513
28470;-4812465
28569;-4812839
28665;-4813139
28699;-4813076
28798;-4813213
28863;-4813481
28928;-4813571
28993;-4813790
29093;-4814063
29164;-4814068
29261;-4814238
29329;-4814483
29429;-4814952
29529;-4814821
29561;-4815187
29661;-4815402
29729;-4815582
29864;-4816093
29954;-4816125
29990;-4816201
30124;-4817297
30191;-4817517
30328;-4817808
30392;-4818139
30493;-4818621
30526;-4818737
30664;-4818868
30791;-4818960
30859;-4819164
30956;-4819517
31098;-4819417
31235;-4819792
31334;-4820147
31468;-4820446
31570;-4821066
31672;-4821657
31771;-4822397
31940;-4822717
32007;-4823314
32186;-4824094
32284;-4824724
32317;-4825097
32489;-4825700
32660;-4826510
32791;-4827170
32861;-4827922
33030;-4828226
33137;-4828182
33248;-4828783
33416;-4829141
33553;-4829271
33656;-4829583
33862;-4830288
33969;-4830637
34142;-4831126
34281;-4831719
34456;-4832515
34595;-4833510
34761;-4833744
34948;-4834423
35049;-4834942
35273;-4836063
35406;-4837373
35481;-4838348
35721;-4839848
35863;-4840775
36038;-4841905
36293;-4843031
36400;-4844401
36551;-4845567
36685;-4846974
36900;-4848473
37085;-4849551
37304;-4850660
37515;-4851975
37695;-4853556
37838;-4854725
38130;-4855381
38289;-4856548
38537;-4857334
38682;-4858349
38948;-4858636
39160;-4858546
39463;-4858665
39741;-4860593
39770;-4861578
40182;-4863603
40401;-4867118
40593;-4869158
40857;-4871427
41005;-4876106
41278;-4878473
41431;-4881911
41710;-4884665
42093;-4889227
42241;-4893789
42554;-4898380
42747;-4903023
43056;-4888482
43295;-4903664
43494;-4824922
