reference_pressure;adc_opamp 10,1,1,1,5,;adc_opamp 10,1,1,1,7,;adc_opamp 10,1,1,1,8,;adc_opamp 9,1,1,1,5,;adc_opamp 9,1,1,1,7,;adc_opamp 9,1,1,1,8,;hx711 10,1,1,1,0,;hx711 10,1,1,1,1,;hx711 9,1,1,1,0,;hx711 9,1,1,1,1,
0;303;486;857;-124;-257;-471;-821212;-819699;442690;442711
0;233;440;817;-126;-259;-487;-827520;-827546;443774;444304
0;225;451;820;-130;-248;-471;-828399;-828449;444856;445290
0;226;444;819;-132;-266;-492;-829079;-829188;446035;446392
0;225;436;811;-133;-260;-483;-830915;-831718;445901;446242
0;236;461;853;-131;-259;-473;-866173;-864239;446171;446485
0;3998;4027;4032;-132;-258;-484;-8388608;-8388608;446029;446510
0;336;537;932;-131;-257;-481;-895769;-896096;446280;446526
0;250;487;864;-126;-255;-484;-897314;-897261;445973;446339
0;246;481;890;-134;-254;-469;-902329;-902394;445948;446305
0;246;483;886;-132;-260;-476;-905617;-906274;445822;446230
0;251;497;907;-132;-265;-488;-941998;-951819;445882;446242
0;259;501;923;-134;-258;-477;-944061;-943786;445851;446209
0;263;513;945;-132;-256;-470;-963849;-964479;445848;446217
0;277;537;997;-134;-267;-490;-1015777;-1014434;445638;445981
0;276;530;993;-130;-265;-504;-996221;-995073;445863;446095
0;273;526;988;-136;-265;-492;-995433;-996001;445356;445635
0;265;526;990;-132;-269;-501;-993607;-993490;445119;445559
0;265;515;959;-132;-265;-481;-982388;-978608;445220;445600
0;266;520;961;-134;-264;-481;-967725;-964528;445176;445500
0;257;496;914;-132;-257;-470;-941448;-935081;444849;445240
0;253;492;905;-134;-260;-493;-924232;-924598;445207;445525
0;250;486;910;-136;-267;-495;-911343;-907084;445359;445787
0;255;499;934;-128;-264;-490;-940255;-940226;445147;445451
0;245;488;901;-133;-266;-494;-900410;-889446;444339;445756
0;220;423;785;-129;-265;-503;-786615;-772671;444085;444705
0;198;392;712;-134;-261;-481;-717003;-703622;444316;444422
0;181;351;648;-135;-261;-464;-647707;-636644;444034;444805
0;206;404;743;-135;-262;-476;-750679;-750034;;444509
0;195;390;708;;;;-690610;-677223;;
0;167;338;613;;;;-593359;-581439;;
0;147;285;513;;;;-515154;-503256;;
0;118;230;408;;;;-403247;-392072;;
0;107;199;357;;;;-349004;-338617;;
0;26;54;77;;;;-87165;-73858;;
0;-16;-34;-79;;;;57700;68656;;
0;-57;-114;-168;;;;180596;189491;;
0;-102;-190;-354;;;;329273;327982;;
0;-73;-142;-261;;;;228307;226593;;
0;-76;-143;-269;;;;229094;228336;;
0;-89;-183;-320;;;;298784;307194;;
0;-126;-249;-447;;;;426382;434529;;
0;-146;-283;-530;;;;501895;505484;;
0;-159;-317;-557;;;;544825;550890;;
0;-183;-352;-652;;;;633542;643513;;
0;-225;-452;-815;;;;800693;809703;;
0;-233;-463;-853;;;;830202;835830;;
0;-245;-487;-904;;;;864181;869876;;
0;-252;-501;-905;;;;887833;890676;;
0;-256;-493;-919;;;;896080;899416;;
0;-254;-502;-937;;;;913994;913519;;
0;-254;-498;-954;;;;914468;916381;;
0;-257;-510;-944;;;;915095;915887;;
0;-259;-512;-944;;;;917312;917683;;
0;-256;-510;-938;;;;924048;923171;;
0;-252;-494;-920;;;;892689;892458;;
0;-249;-493;-922;;;;892564;886947;;
0;-248;-489;-906;;;;879298;879613;;
0;-250;-497;-914;;;;878797;878184;;
0;-248;-487;-913;;;;878277;878132;;
0;-249;-494;-904;;;;878937;878908;;
1;;;758;-133;-264;-480;;;443227;443649
1;;;759;;;;;;;
1;;;4015;;;;;;;
