reference_pressure;adc_opamp 10,1,1,1,7,;adc_opamp 10,1,1,1,8,;adc_opamp 10,3,1,1,7,;adc_opamp 10,3,1,1,8,;adc_opamp 11,1,1,1,7,;adc_opamp 11,1,1,1,8,;adc_opamp 11,3,1,1,7,;adc_opamp 11,3,1,1,8,;adc_opamp 13,1,1,1,7,;adc_opamp 13,1,1,1,8,;adc_opamp 13,3,1,1,7,;adc_opamp 13,3,1,1,8,;adc_opamp 14,1,1,1,7,;adc_opamp 14,1,1,1,8,;adc_opamp 14,5,1,1,7,;adc_opamp 14,5,1,1,8,;adc_opamp 14,7,1,1,7,;adc_opamp 14,7,1,1,8,;adc_opamp 15,1,1,1,7,;adc_opamp 15,1,1,1,8,;adc_opamp 15,4,4,4,7,;adc_opamp 15,4,4,4,8,;adc_opamp 9,3,1,1,7,;adc_opamp 9,3,1,1,8,;adc_opamp 9,5,1,1,7,;adc_opamp 9,5,1,1,8,;adc_opamp 9,7,1,1,7,;adc_opamp 9,7,1,1,8,;hx711 10,1,1,1,0,;hx711 10,1,1,1,1,;hx711 10,3,1,1,0,;hx711 10,3,1,1,1,;hx711 11,1,1,1,0,;hx711 11,1,1,1,1,;hx711 11,3,1,1,0,;hx711 11,3,1,1,1,;hx711 13,1,1,1,0,;hx711 13,1,1,1,1,;hx711 13,3,1,1,0,;hx711 13,3,1,1,1,;hx711 14,1,1,1,0,;hx711 14,1,1,1,1,;hx711 14,5,1,1,0,;hx711 14,5,1,1,1,;hx711 14,7,1,1,0,;hx711 14,7,1,1,1,;hx711 15,1,1,1,0,;hx711 15,1,1,1,1,;hx711 15,4,4,4,0,;hx711 15,4,4,4,1,;hx711 9,3,1,1,0,;hx711 9,3,1,1,1,;hx711 9,5,1,1,0,;hx711 9,5,1,1,1,;hx711 9,7,1,1,0,;hx711 9,7,1,1,1,
0;-469;-880;-1619;-3448;2468;4008;1089;2174;1902;3666;500;941;628;1160;-225;-450;-178;-354;4011;4033;4007;4030;-1432;-3043;-1034;-2007;-994;-1924;851237;851325;3626687;3626831;-5067504;-5067915;-2294975;-2295332;-3720842;-3720896;-947269;-947471;-1159115;-1157524;426339;426644;328882;330580;-8388608;-8388608;-8388608;-8388608;3218002;3218425;2030884;2029548;1929583;1930737
20;-386;-717;-1543;-3286;2557;4009;1196;2381;2011;3875;608;1171;761;1375;-132;-256;0;7;4010;4032;4007;4030;-1481;-3158;-1105;-2158;-1007;-1968;698218;689584;3446573;3442210;-5249611;-5259050;-2502976;-2508001;-3935377;-3945566;-1186894;-1192635;-1384476;-1391941;228186;224274;-39898;-44695;-8388608;-8388608;-8388608;-8388608;3346802;3351623;2187746;2190919;1974912;1977976
40;-206;-377;-1451;-3096;2748;4014;1294;2599;2201;3999;717;1374;942;1695;-34;-60;157;291;4011;4032;4006;4030;-1563;-3341;-1202;-2303;-1048;-2035;342885;333855;3265169;3260476;-5622121;-5632112;-2702055;-2707683;-4325158;-4335138;-1401121;-1406685;-1725140;-1732208;55959;51497;-291641;-296573;-8388608;-8388608;-8388608;-8388608;3523679;;2351765;2353933;2050268;2053357
60;-13;-22;-1368;;2946;4016;1381;2773;2378;4007;817;1580;1085;1996;46;93;287;532;4012;4032;4006;4029;-1644;-3513;-1277;-2471;-1090;-2124;3886;-6841;3082658;3078152;-5981336;-5991761;-2903273;-2909057;-4701813;-4712933;-1620593;-1627687;-2031447;-2038708;-118973;-124426;-549214;-556644;-8388608;-8388608;-8388608;-8388608;3700375;3706289;2497164;2500743;2122176;2125640
80;215;408;-1270;-2687;3172;4018;1516;3029;2620;4013;954;1857;1278;2353;165;336;440;841;4012;4031;4007;4031;-1753;-3766;-1381;-2644;-1122;-2197;-424253;-435841;2848447;2843462;-6434758;-6449545;-3157236;-3158106;-5180512;-5193623;-1895527;-1898133;-2414995;-2426818;-326322;-328594;-845466;-848128;-8388608;-8388608;-8388608;-8388608;3930513;3937638;2685055;2689545;2210442;2213725
120;515;987;-1156;-2465;3471;4020;1633;3276;2914;4016;1109;2114;1497;2783;280;549;592;1135;4014;4032;4006;4030;-1866;-3972;-1478;-2803;-1155;-2251;-989502;-997314;2615657;2612191;-7006548;-7015147;-3398248;-3404592;-5775434;-5785174;-2173826;-2181016;-2849003;-2853016;-549240;-552544;-1143292;-1146084;-8388608;-8388608;-8388608;-8388608;4180538;4184545;2842855;2844379;2278819;2281478
140;695;1319;-1072;-2277;3648;4022;1731;3485;3118;4019;1226;2339;1642;3100;378;721;714;1338;4015;4033;4007;4029;-1955;-4002;-1541;-2946;-1197;-2334;-1354812;-1361133;2423371;2416961;-7379891;-7390399;-3594563;-3599679;-6183765;-6192596;-2403757;-2407737;-3153146;-3158577;-736254;-738405;-1383318;-1387545;-8388608;-8388608;-8388608;-8388608;4354971;4359420;2968093;2971483;2343508;2346607
160;911;1732;-964;-2077;3886;4024;1851;3730;3367;4022;1383;2611;1820;3469;498;950;858;1635;4016;4032;4006;4030;-2043;-4009;-1615;-3103;-1247;-2407;-1787420;-1794684;2201211;2197483;-7839671;-7846046;-3852633;-3855468;-6659937;-6668661;-2686112;-2694877;-3524538;-3532473;-966408;-969896;-1679124;-1681173;-8388608;-8388608;-8388608;-8388608;4563246;4568879;3117901;3119722;2433442;2436171
180;1077;2068;-881;-1898;3962;4024;1955;3926;3552;4023;1507;2844;1979;3803;594;1136;982;1860;4016;4032;4006;4030;-2119;-4009;-1678;-3199;-1275;-2480;-2128108;-2134844;2017676;2013099;-8191040;-8200887;-4038062;-4048627;-7040685;-7048246;-2900951;-2904135;-3827380;-3835848;-1156650;-1160613;-1919890;-1924516;-8388608;-8388608;-8388608;-8388608;4721895;4726984;3235909;3240040;2506906;2510187
200;1259;2452;-779;-1707;3984;4027;2061;3987;3791;4025;1637;3099;2138;3986;711;1361;1105;2135;4018;4033;4006;4030;-2200;-4012;-1734;-3331;-1324;-2559;-2515278;-2521969;1812302;1807534;-8388608;-8388608;-4263369;-4271157;-7472446;-7483543;-3154366;-3158989;-4175539;-4180589;-1374555;-1379798;-2182335;-2186934;-8388608;-8388608;-8388608;-8388608;4907028;4909115;3365030;3368120;2587372;2590015
