reference_pressure;adc_opamp 10,3,1,1,7,;adc_opamp 11,3,1,1,7,;adc_opamp 13,3,1,1,7,;adc_opamp 14,5,1,1,7,;adc_opamp 14,7,1,1,7,;hx711 10,3,1,1,1,;hx711 11,3,1,1,1,;hx711 13,3,1,1,1,;hx711 14,5,1,1,1,;hx711 14,7,1,1,1,
10;-1691;1046;533;-316;124;3442182;-2133600;-1027872;586829;-256057
30;-1655;1096;582;-290;176;3365924;-2215500;-1118789;514994;-339850
40;-1607;1150;644;-231;227;3264427;-2324639;-1239891;416657;-452323
50;-1557;1200;692;-196;285;3178243;-2419002;-1343120;;-531438
60;-1485;1270;781;-130;355;3038341;-2569621;-1506407;212713;-670727
70;-1446;1318;834;-76;412;2942066;-2672633;-1619786;125179;-773218
80;-1391;1381;892;-32;469;2838922;-2780055;-1739054;29245;-877280
90;-1374;1393;926;1;474;2786345;-2837899;-1802927;-20561;-901222
100;-1338;1430;969;24;503;2717017;-2912370;-1884624;-81574;-960488
110;-1284;1497;1033;99;558;2602234;-3034426;-2018228;-184328;-1071809
120;-1240;1551;1095;139;615;2504612;-3139393;-2131789;-270321;-1163142
130;-1199;1601;1133;179;648;2423722;-3224850;-2225390;-341572;-1242664
140;-1154;1636;1185;226;694;2329854;-3324131;-2333624;-423778;-1333178
150;-1104;1691;1240;271;741;2218302;-3442982;-2461976;-522385;-1442913
160;-1055;1744;1299;305;794;2133256;-3533105;-2560421;-597298;-1533659
170;-1015;1795;1339;349;842;2040781;-3630482;-2666238;-677943;-1635673
180;-982;1833;1395;387;885;1970692;-3703860;-2746298;-739956;-1712015
190;-938;1883;1447;431;938;1867151;-3811781;-2863620;-831379;-1824863
200;-893;1932;1494;462;979;1772024;-3912398;-2972166;-913654;-1917581
210;-849;1975;1545;518;1033;1669709;-4018384;-3087478;-1002904;-2034242
220;-802;2022;1589;553;1079;1585527;-4105747;-3182212;-1075178;-2120726
230;-749;2068;1650;601;1140;1490135;-4203165;-3288015;-1156475;-2230214
240;-716;2115;1694;637;1178;1406389;-4292947;-3383565;-1232689;-2310959
250;-671;2172;1755;672;1225;1310150;-4393746;-3492184;-1314582;-2402001
260;-632;2217;1795;704;1277;1225748;-4480001;-3585302;-1385294;-2505084
270;-579;2272;1850;760;1342;1117560;-4589270;-3703621;-1476359;-2642254
280;-545;2310;1887;784;1387;1046276;-4661157;-3781109;-1536214;-2732524
290;-506;2344;1938;824;1442;967093;-4739878;-3867396;-1602956;-2832956
305;-446;2413;1996;879;1513;844943;-4860971;-3998261;-1709627;-2990148
