reference_pressure;hx711 10,1,1,1,1,
22276;-8090216
22276;-8089568
22276;-8088079
22307;-8094266
22307;-8093790
22307;-8093494
22307;-8092765
22307;-8092048
22307;-8091672
22307;-8091099
22307;-8090545
22307;-8089263
22307;-8088552
22307;-8087403
22307;-8086174
22338;-8098504
22338;-8097794
22338;-8097234
22338;-8096397
22338;-8094761
22341;-8099090
22341;-8095833
22372;-8102886
22372;-8102074
22372;-8101477
22372;-8101195
22372;-8100751
22372;-8099864
22372;-8095445
22403;-8107483
22403;-8106784
22403;-8105866
22403;-8102565
22403;-8099418
22405;-8105459
22405;-8103433
22434;-8111980
22434;-8111902
22434;-8111872
22434;-8111849
22434;-8110852
22434;-8110060
22434;-8109192
22434;-8108326
22436;-8112503
22436;-8111703
22436;-8111041
22436;-8110631
22436;-8110387
22436;-8109625
22467;-8113655
22467;-8113420
22467;-8112734
22467;-8112260
22467;-8112182
22467;-8112004
22467;-8111320
22498;-8116283
22498;-8115430
22498;-8115268
22498;-8115132
22498;-8114920
22498;-8114589
22498;-8114485
22498;-8114479
22498;-8114381
22498;-8114028
22498;-8113460
22498;-8113293
22498;-8113367
22498;-8113242
22498;-8112867
22501;-8115733
22501;-8115552
22501;-8114809
22501;-8114279
22501;-8114212
22529;-8120496
22529;-8119196
22529;-8118678
22529;-8117366
22529;-8117126
22529;-8116819
22529;-8116575
22529;-8115907
22532;-8118159
22532;-8114708
22563;-8124461
22563;-8123638
22563;-8122863
22563;-8122143
22563;-8121257
22563;-8120345
22563;-8119838
22563;-8117789
22594;-8128834
22594;-8128063
22594;-8125973
22625;-8129876
22625;-8127159
22656;-8133301
22656;-8131279
22658;-8132189
22689;-8138064
22689;-8136802
22689;-8135715
22689;-8134979
22720;-8138835
22720;-8138681
22751;-8139208
22751;-8139117
22751;-8138957
22751;-8138977
22782;-8138735
22782;-8139230
22782;-8139208
22782;-8139271
22782;-8139209
22782;-8139184
22785;-8139170
22785;-8139253
22813;-8138397
22813;-8138621
22813;-8138915
22813;-8139033
22813;-8139061
22816;-8138949
22844;-8137910
22844;-8138048
22844;-8138503
22847;-8138236
22875;-8137677
22878;-8137450
22909;-8136218
22909;-8136584
22909;-8136896
22909;-8137094
22909;-8137400
22940;-8134739
22940;-8135102
22940;-8135300
22940;-8135449
22940;-8135728
22940;-8136110
22971;-8135154
22971;-8134945
22971;-8134675
22971;-8134847
23002;-8136968
23002;-8136196
23002;-8135376
23002;-8134728
23034;-8138162
23034;-8137482
23067;-8138895
23099;-8142040
23099;-8141238
23099;-8140511
23099;-8139656
23132;-8143482
23164;-8145205
23197;-8158783
23197;-8148072
23197;-8147557
23197;-8146648
23229;-8261189
23229;-8260340
23229;-8259613
23229;-8255221
23229;-8163276
23229;-8161485
23229;-8159942
23229;-8157474
23261;-8264042
23261;-8262185
23294;-8265495
23294;-8264758
23294;-8263446
23324;-8266269
23324;-8266155
23324;-8262832
23326;-8266246
23356;-8267118
23356;-8267646
23356;-8267869
23356;-8266548
23359;-8266157
23359;-8267143
23359;-8267408
23359;-8267684
23359;-8267347
23359;-8267411
23359;-8267535
23359;-8267153
23359;-8266141
23391;-8262552
23391;-8263120
23391;-8263965
23391;-8264502
23391;-8265765
23421;-8258940
23421;-8265128
